Chemical Name,GWP_100
Perfluorodecalin (cis),7480
Perfluorodecalin (cis),7800
Perfluorodecalin (cis),7120
Perfluorodecalin (trans),7480
Perfluorodecalin (trans),7800
Perfluorodecalin (trans),7120
Perfluoroethyl formate,597
Perfluoroheptane,8410
Perfluorohexane,8620
Perfluorooctyl Ethylene,0.141
Perfluoropentane,9220
Perfluoropropane,9290
"Propanal, 3,3,3-trifluoro-",0.025
Propane,0.02
"Propane, 1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-",6630
"Propane, 1,1,1,2,2,3,3-heptafluoro-3-methoxy-",576
"Propane, 1,1,1-trifluoro-",74.8
"Propane, 2-(difluoromethoxymethyl)-1,1,1,2,3,3,3-heptafluoro-",437
"Propane, 2-(ethoxydifluoromethyl)-1,1,1,2,3,3,3-heptafluoro-",34.3
Sevoflurane,195
Sulfur hexafluoride,25200
Sulfuryl fluoride,4630
Tetrachloroethylene,6.34
Tetrafluoroethene,0.004
Tribromomethane,0.25
Trichloroethylene,0.044
Trifluoro(trifluoromethoxy)ethylene,0.01
Trifluoromethyl sulfur pentafluoride,18500
Vinyl fluoride,0.024
Vinylidene fluoride,0.052
